un,vn,x,y,u,v
0.074208663,0.009942877,301,11,0.036829065,-0.086662825
0.019192876,-0.002676801,311,11,-0.016090334,-0.093687751
-0.009821437,0.025062598,321,11,-0.043240462,-0.058475962
0.040004817,0.001496797,331,11,0.008026319,-0.073346188
-0.043290931,-0.011699083,341,11,-0.074291702,-0.077255531
-0.0312567,0.034397824,351,11,-0.06167895,-0.021773481
0.095235393,0.01443841,361,11,0.065095143,-0.032570149
-0.003217682,0.027787027,371,11,-0.033276902,-0.010462395
-0.021629164,0.009609879,381,11,-0.051739666,-0.020381578
0.004470413,0.062955632,391,11,-0.025780657,0.040656038
0.064026797,-0.027432093,401,11,0.033575526,-0.042668912
0.007260982,0.044618527,411,11,-0.023420114,0.035747019
-0.026428824,0.034030189,421,11,-0.057330856,0.030763076
0.034930221,-0.055366546,431,11,0.003862792,-0.053831576
-0.030845597,-0.023328306,441,11,-0.061975208,-0.01779971
0.059025851,0.029598099,451,11,0.027976863,0.038344215
0.094390199,0.033161716,461,11,0.063589616,0.044413716
0.055163344,-0.006150593,471,11,0.024787361,0.006980635
0.0402678,0.019604737,481,11,0.010486469,0.034081956
-0.083553732,-0.03174043,491,11,-0.112587005,-0.016358078
0.02279118,0.084764302,501,11,-0.005363433,0.100696232
0.039143544,-0.033253521,1,21,0.076773733,0.008476473
0.040874569,0.097864697,11,21,0.078917126,0.141509555
0.086883189,0.061762474,21,21,0.125018334,0.107258989
0.03012967,0.003925336,31,21,0.067919011,0.051074586
-0.038739544,0.040345274,41,21,-0.001865828,0.088751543
-0.028080564,-0.054587579,51,21,0.007178595,-0.005585133
-0.062433601,-0.028020916,61,21,-0.029590401,0.020588954
-0.094212899,-0.06252215,71,21,-0.064632511,-0.015657767
-0.06821496,0.032520802,81,21,-0.042705251,0.075937597
-0.002266547,0.027639375,91,21,0.018499606,0.065640383
-0.007932935,-0.026991314,101,21,0.00763528,0.003506965
-0.003639877,-0.018762154,111,21,0.006548045,0.002213696
0.020608299,0.028060826,121,21,0.025532824,0.037762288
-0.017300183,-0.052682221,131,21,-0.017206408,-0.055509927
-0.040837089,-0.012726366,141,21,-0.044843154,-0.028534292
0.007121177,-0.031181059,151,21,-0.000119814,-0.059286983
0.076539533,-0.011185915,161,21,0.066667542,-0.049771482
0.027960403,-0.007500675,171,21,0.015423263,-0.054300835
0.0759165,-0.038598247,181,21,0.060104881,-0.091892292
